skill,seniority,adverts,median_salary,baseline_salary,premium_pct,premium_low,premium_high,significant
Power Platform,Mid,20,25200.0,16800.0,50.0,27.5,55.0,True
GCP,Mid,34,24150.0,16800.0,43.8,22.5,68.8,True
Jira,Junior,20,10460.0,7287.0,43.5,21.0,96.0,True
Azure,Mid,52,23520.0,16800.0,40.0,20.0,48.8,True
Distributed systems,Senior,20,32000.0,23000.0,39.1,15.2,46.7,True
Agile,Mid,18,22680.0,16800.0,35.0,19.0,40.8,True
Terraform,Mid,16,22470.0,16800.0,33.7,0.0,50.0,False
R,Mid,20,22100.0,16800.0,31.5,10.0,57.5,True
Security,Mid,26,22000.0,16800.0,31.0,7.1,56.2,True
Kafka,Mid,29,21840.0,16800.0,30.0,20.0,40.0,True
Microsoft Azure,Mid,16,21550.0,16800.0,28.3,5.0,37.5,True
Cloud,Mid,76,21420.0,16800.0,27.5,10.0,37.5,True
API,Mid,55,21000.0,16800.0,25.0,19.0,30.0,True
Scala,Mid,21,21000.0,16800.0,25.0,10.0,25.0,True
Docker,Mid,26,21000.0,16800.0,25.0,10.8,30.0,True
DevOps,Mid,19,21000.0,16800.0,25.0,10.0,50.0,True
K8s,Mid,45,21000.0,16800.0,25.0,10.0,31.2,True
ETL,Mid,34,21000.0,16800.0,25.0,-4.8,30.0,False
Spring Boot,Mid,34,21000.0,16800.0,25.0,0.6,50.0,True
Java,Junior,25,9000.0,7287.0,23.5,0.9,53.7,True
Scala,Senior,28,27700.0,23000.0,20.4,9.6,31.5,True
Salesforce,Mid,26,20160.0,16800.0,20.0,-5.0,40.0,False
REST API,Mid,61,20160.0,16800.0,20.0,0.0,37.5,False
Project management,Mid,23,20160.0,16800.0,20.0,0.0,45.0,False
Go,Mid,40,20000.0,16800.0,19.0,19.0,25.0,True
AWS,Mid,72,20000.0,16800.0,19.0,5.0,22.5,True
JavaScript,Mid,58,20000.0,16800.0,19.0,-16.7,22.6,False
Spring,Mid,25,20000.0,16800.0,19.0,10.0,62.5,True
AI,Mid,85,20000.0,16800.0,19.0,19.0,30.0,True
