job_key,reference,snapshot_date,skill
RDZUVZY3-2026-08-08,RDZUVZY3,2026-08-08,Backlog management
RDZUVZY3-2026-08-08,RDZUVZY3,2026-08-08,Jira
RDZUVZY3-2026-08-08,RDZUVZY3,2026-08-08,Confluence
GQYSV0VR-2026-08-08,GQYSV0VR,2026-08-08,Web development
GQYSV0VR-2026-08-08,GQYSV0VR,2026-08-08,C#
GQYSV0VR-2026-08-08,GQYSV0VR,2026-08-08,.NET
2YWKFSFY-2026-08-08,2YWKFSFY,2026-08-08,Stakeholder management
PK0BSPNJ-2026-08-08,PK0BSPNJ,2026-08-08,.NET
APMQMWBP-2026-08-08,APMQMWBP,2026-08-08,JavaScript
APMQMWBP-2026-08-08,APMQMWBP,2026-08-08,TypeScript
APMQMWBP-2026-08-08,APMQMWBP,2026-08-08,React
FAXCOSYT-2026-08-08,FAXCOSYT,2026-08-08,Azure
FAXCOSYT-2026-08-08,FAXCOSYT,2026-08-08,Microsoft Azure
FAXCOSYT-2026-08-08,FAXCOSYT,2026-08-08,API
TA5WLWCV-2026-08-08,TA5WLWCV,2026-08-08,Azure
MMUTZNX7-2026-08-08,MMUTZNX7,2026-08-08,Node.js
MMUTZNX7-2026-08-08,MMUTZNX7,2026-08-08,TypeScript
MMUTZNX7-2026-08-08,MMUTZNX7,2026-08-08,DevOps
BJUBARAG-2026-08-08,BJUBARAG,2026-08-08,Tableau
BJUBARAG-2026-08-08,BJUBARAG,2026-08-08,Power BI
BJUBARAG-2026-08-08,BJUBARAG,2026-08-08,BI
JQIMZRHS-2026-08-08,JQIMZRHS,2026-08-08,CD pipelines
JQIMZRHS-2026-08-08,JQIMZRHS,2026-08-08,DevOps
JQIMZRHS-2026-08-08,JQIMZRHS,2026-08-08,ITIL
VD76BDK1-2026-08-08,VD76BDK1,2026-08-08,.NET
VD76BDK1-2026-08-08,VD76BDK1,2026-08-08,C#
VD76BDK1-2026-08-08,VD76BDK1,2026-08-08,ASP.NET Core
GXK7LCFP-2026-08-08,GXK7LCFP,2026-08-08,Python
GXK7LCFP-2026-08-08,GXK7LCFP,2026-08-08,Data engineering
GXK7LCFP-2026-08-08,GXK7LCFP,2026-08-08,Data modeling
EUWTCOSU-2026-08-08,EUWTCOSU,2026-08-08,React native
EUWTCOSU-2026-08-08,EUWTCOSU,2026-08-08,TypeScript
EUWTCOSU-2026-08-08,EUWTCOSU,2026-08-08,React
LD6OILGE-2026-08-08,LD6OILGE,2026-08-08,Kotlin
LD6OILGE-2026-08-08,LD6OILGE,2026-08-08,React
LD6OILGE-2026-08-08,LD6OILGE,2026-08-08,Next.js
6D1CSMCC-2026-08-08,6D1CSMCC,2026-08-08,Java
6D1CSMCC-2026-08-08,6D1CSMCC,2026-08-08,React
6D1CSMCC-2026-08-08,6D1CSMCC,2026-08-08,TypeScript
